#t x y z vx vy vz
0.00 -2.04 3.10 -1.47 0.33 4.37 -0.44
0.07 -1.86 3.11 -1.46 -1.14 8.06 -0.36
0.14 -1.90 3.23 -1.55 -3.26 9.13 -0.93
0.21 -2.23 3.39 -1.59 -2.95 8.01 0.07
0.29 -2.46 3.79 -1.61 -4.33 8.17 -0.19
0.36 -2.63 4.36 -1.57 -6.05 7.16 0.60
0.43 -3.31 4.66 -1.63 -9.21 12.74 -2.32
0.50 -3.46 5.59 -1.82 -4.55 10.47 -2.79
0.57 -3.68 6.12 -2.04 -3.22 6.67 -1.92
0.64 -3.92 6.57 -2.16 -5.25 4.25 -1.81
0.71 -4.01 7.01 -2.22 -7.78 5.75 -0.88
0.79 -4.44 7.44 -2.56 -8.80 9.27 -6.52
0.86 -5.14 8.20 -3.18 -10.31 6.86 -9.65
0.93 -5.94 9.09 -3.71 -11.84 10.99 -9.23
1.00 -6.57 10.25 -4.30 -6.10 10.32 -7.74
1.07 -7.01 11.07 -4.87 -4.01 10.87 -8.51
1.14 -7.48 12.06 -5.62 -5.04 16.88 -10.64
1.21 -8.08 13.19 -6.40 -8.10 15.30 -11.18
1.29 -8.68 14.52 -7.15 -9.22 16.23 -10.91
1.36 -9.25 15.87 -7.94 -11.28 18.13 -11.24
1.43 -9.93 17.08 -8.83 -11.09 14.21 -13.49
1.50 -10.69 18.32 -9.81 -12.98 21.77 -14.82
1.57 -11.50 19.72 -10.85 -11.18 23.84 -15.70
1.64 -12.40 21.41 -11.80 -14.12 26.07 -12.71
1.71 -13.34 23.29 -12.74 -12.05 27.32 -14.22
1.79 -14.36 25.29 -13.75 -14.02 25.61 -15.66
1.86 -15.36 27.23 -14.82 -17.94 27.65 -15.17
1.93 -16.62 29.30 -15.78 -24.17 29.69 -15.03
2.00 -18.26 31.62 -16.88 -22.65 35.01 -15.28
2.07 -19.76 34.21 -17.99 -22.33 39.56 -16.57
2.14 -21.28 37.04 -19.18 -17.88 40.36 -15.54
2.21 -22.65 39.93 -20.44 -19.25 39.08 -19.06
2.29 -24.29 42.83 -21.83 -23.48 38.87 -19.20
2.36 -25.92 45.87 -23.15 -24.84 43.97 -19.26
2.43 -27.65 49.11 -24.49 -23.91 44.05 -19.48
2.50 -29.41 52.18 -25.89 -24.62 49.84 -20.18
2.57 -31.11 55.98 -27.36 -24.87 54.52 -21.94
2.64 -33.16 59.74 -28.77 -26.11 54.55 -19.38
2.71 -34.97 63.75 -30.28 -26.36 55.53 -22.12
2.79 -36.92 67.78 -31.90 -28.17 58.23 -24.09
2.86 -39.09 72.12 -33.61 -31.57 63.67 -23.87
2.93 -41.24 76.88 -35.40 -30.66 66.52 -27.93
3.00 -43.31 81.84 -37.42 -30.85 73.13 -28.38
3.07 -45.06 86.86 -39.47 -34.35 79.23 -28.07
3.14 -47.31 92.91 -41.54 -34.70 81.06 -30.33
3.21 -49.61 99.18 -43.72 -36.65 83.10 -30.24
3.29 -52.37 105.50 -45.73 -39.97 89.28 -30.47
3.36 -55.28 112.35 -47.93 -43.26 96.83 -31.60
3.43 -58.70 119.90 -50.12 -42.96 110.97 -30.48
3.50 -61.70 128.24 -52.27 -40.48 120.65 -30.22
3.57 -64.63 137.40 -54.37 -42.30 132.56 -28.11
3.64 -67.81 147.40 -56.32 -43.68 149.02 -27.66
3.71 -70.89 158.79 -58.08 -43.36 171.07 -21.10
3.79 -73.96 171.81 -59.24 -43.64 191.55 -10.85
3.86 -77.04 186.71 -59.39 -36.41 227.59 10.37
3.93 -78.61 204.40 -57.23 -5.51 264.52 57.21
4.00 -76.78 223.09 -50.34 57.27 245.46 129.54
4.07 -71.18 238.44 -40.12 91.70 182.79 148.36
4.14 -64.42 249.44 -30.15 85.11 125.10 128.98
4.21 -58.67 257.23 -21.90 75.03 88.99 103.64
4.29 -53.72 262.49 -15.13 67.39 65.34 86.13
4.36 -49.14 266.37 -9.70 63.07 44.88 70.92
4.43 -44.63 268.83 -5.01 61.69 26.05 62.86
4.50 -40.40 270.11 -0.92 58.57 8.50 52.79
4.57 -36.39 270.19 2.73 53.29 -6.08 49.85
