#         t          x          y          z         vx         vy         vz
      0.000     98.600    119.990    127.780     28.430   -173.920    -93.230
      0.010     98.881    118.247    126.843     27.735   -174.758    -94.129
      0.020     99.155    116.495    125.897     27.025   -175.600    -95.038
      0.030     99.421    114.735    124.942     26.299   -176.445    -95.959
      0.040     99.681    112.966    123.978     25.557   -177.294    -96.890
      0.050     99.932    111.189    123.005     24.798   -178.147    -97.833
      0.060    100.176    109.403    122.021     24.021   -179.003    -98.788
      0.070    100.413    107.609    121.029     23.227   -179.862    -99.754
      0.080    100.641    105.806    120.026     22.414   -180.725   -100.732
      0.090    100.861    103.994    119.014     21.582   -181.591   -101.723
      0.100    101.072    102.174    117.992     20.731   -182.460   -102.725
      0.110    101.275    100.345    116.959     19.860   -183.331   -103.741
      0.120    101.469     98.507    115.917     18.969   -184.206   -104.769
      0.130    101.655     96.661    114.864     18.056   -185.083   -105.810
      0.140    101.831     94.806    113.801     17.121   -185.962   -106.865
      0.150    101.997     92.942    112.727     16.164   -186.844   -107.933
      0.160    102.154     91.069    111.642     15.184   -187.728   -109.015
      0.170    102.300     89.187    110.546     14.180   -188.613   -110.111
      0.180    102.437     87.296    109.440     13.151   -189.499   -111.221
      0.190    102.563     85.397    108.322     12.097   -190.387   -112.345
      0.200    102.679     83.489    107.193     11.017   -191.276   -113.484
      0.210    102.784     81.571    106.052      9.911   -192.165   -114.638
      0.220    102.877     79.645    104.900      8.776   -193.054   -115.808
      0.230    102.959     77.710    103.736      7.613   -193.943   -116.992
      0.240    103.029     75.766    102.560      6.420   -194.832   -118.192
      0.250    103.087     73.814    101.372      5.198   -195.719   -119.408
      0.260    103.133     71.852    100.172      3.943   -196.605   -120.639
      0.270    103.166     69.882     98.959      2.657   -197.489   -121.887
      0.280    103.186     67.902     97.734      1.337   -198.370   -123.152
      0.290    103.193     65.914     96.496     -0.017   -199.248   -124.433
      0.300    103.185     63.917     95.245     -1.406   -200.123   -125.731
      0.310    103.164     61.912     93.981     -2.832   -200.992   -127.045
      0.320    103.129     59.898     92.704     -4.296   -201.856   -128.377
      0.330    103.078     57.875     91.414     -5.799   -202.715   -129.726
      0.340    103.012     55.843     90.109     -7.341   -203.566   -131.093
      0.350    102.931     53.803     88.792     -8.925   -204.409   -132.477
      0.360    102.834     51.755     87.460    -10.552   -205.243   -133.878
      0.370    102.720     49.699     86.114    -12.222   -206.068   -135.297
      0.380    102.589     47.634     84.754    -13.938   -206.881   -136.734
      0.390    102.441     45.561     83.379    -15.701   -207.683   -138.189
      0.400    102.275     43.480     81.990    -17.511   -208.470   -139.661
      0.410    102.090     41.392     80.586    -19.372   -209.243   -141.150
      0.420    101.887     39.296     79.167    -21.283   -209.999   -142.657
      0.430    101.664     37.192     77.733    -23.247   -210.737   -144.182
      0.440    101.422     35.081     76.283    -25.265   -211.455   -145.723
      0.450    101.159     32.963     74.818    -27.339   -212.151   -147.281
      0.460    100.875     30.838     73.337    -29.469   -212.824   -148.855
      0.470    100.569     28.706     71.841    -31.659   -213.472   -150.445
      0.480    100.241     26.569     70.328    -33.909   -214.091   -152.051
      0.490     99.891     24.425     68.800    -36.221   -214.680   -153.671
      0.500     99.517     22.275     67.255    -38.597   -215.236   -155.306
      0.510     99.118     20.120     65.694    -41.038   -215.757   -156.954
      0.520     98.695     17.960     64.116    -43.545   -216.240   -158.614
      0.530     98.247     15.796     62.521    -46.120   -216.681   -160.285
      0.540     97.773     13.627     60.910    -48.765   -217.078   -161.966
      0.550     97.271     11.454     59.282    -51.481   -217.428   -163.656
      0.560     96.743      9.279     57.637    -54.268   -217.726   -165.353
      0.570     96.186      7.100     55.975    -57.129   -217.968   -167.055
      0.580     95.600      4.920     54.296    -60.064   -218.152   -168.761
      0.590     94.984      2.737     52.600    -63.074   -218.273   -170.469
      0.600     94.338      0.554     50.886    -66.159   -218.327   -172.175
      0.610     93.661     -1.629     49.156    -69.320   -218.309   -173.878
      0.620     92.951     -3.811     47.409    -72.557   -218.214   -175.575
      0.630     92.209     -5.993     45.645    -75.870   -218.039   -177.263
      0.640     91.433     -8.172     43.864    -79.258   -217.778   -178.938
      0.650     90.623    -10.348     42.066    -82.722   -217.425   -180.597
      0.660     89.779    -12.520     40.252    -86.258   -216.977   -182.236
      0.670     88.898    -14.687     38.421    -89.866   -216.428   -183.851
      0.680     87.981    -16.848     36.575    -93.544   -215.772   -185.438
      0.690     87.027    -19.002     34.713    -97.288   -215.005   -186.991
      0.700     86.035    -21.147     32.835   -101.096   -214.122   -188.507
      0.710     85.005    -23.284     30.943   -104.964   -213.117   -189.980
      0.720     83.935    -25.409     29.036   -108.887   -211.986   -191.405
      0.730     82.827    -27.523     27.115   -112.861   -210.725   -192.776
      0.740     81.678    -29.623     25.181   -116.878   -209.329   -194.087
      0.750     80.489    -31.708     23.234   -120.934   -207.795   -195.333
      0.760     79.259    -33.778     21.274   -125.020   -206.120   -196.508
      0.770     77.988    -35.830     19.304   -129.130   -204.301   -197.606
      0.780     76.676    -37.863     17.323   -133.253   -202.336   -198.621
      0.790     75.323    -39.876     15.332   -137.382   -200.225   -199.548
      0.800     73.929    -41.867     13.332   -141.507   -197.965   -200.380
      0.810     72.493    -43.835     11.325   -145.618   -195.560   -201.114
      0.820     71.016    -45.778      9.311   -149.703   -193.009   -201.744
      0.830     69.499    -47.694      7.290   -153.753   -190.315   -202.265
      0.840     67.942    -49.583      5.266   -157.756   -187.482   -202.674
      0.850     66.344    -51.443      3.238   -161.701   -184.513   -202.967
      0.860     64.708    -53.273      1.207   -165.577   -181.416   -203.140
      0.870     63.033    -55.071     -0.824   -169.373   -178.196   -203.160
      0.880     61.321    -56.836     -2.855   -173.076   -174.864   -203.010
      0.890     59.572    -58.568     -4.884   -176.675   -171.429   -202.736
      0.900     57.788    -60.264     -6.909   -180.160   -167.900   -202.341
      0.910     55.970    -61.925     -8.930   -183.524   -164.286   -201.828
      0.920     54.118    -63.550    -10.945   -186.760   -160.599   -201.200
      0.930     52.235    -65.137    -12.954   -189.860   -156.847   -200.460
      0.940     50.322    -66.686    -14.954   -192.821   -153.042   -199.612
      0.950     48.379    -68.197    -16.945   -195.637   -149.194   -198.659
      0.960     46.410    -69.670    -18.927   -198.305   -145.313   -197.608
      0.970     44.414    -71.104    -20.897   -200.823   -141.409   -196.464
      0.980     42.394    -72.498    -22.856   -203.191   -137.493   -195.231
      0.990     40.351    -73.853    -24.801   -205.406   -133.574   -193.917
      1.000     38.287    -75.170    -26.734   -207.471   -129.661   -192.526
      1.010     36.202    -76.447    -28.652   -209.387   -125.762   -191.065
      1.020     34.100    -77.685    -30.555   -211.155   -121.885   -189.541
      1.030     31.980    -78.885    -32.442   -212.779   -118.037   -187.959
      1.040     29.845    -80.046    -34.313   -214.262   -114.226   -186.325
      1.050     27.695    -81.169    -36.168   -215.607   -110.456   -184.645
      1.060     25.533    -82.255    -38.006   -216.820   -106.734   -182.925
      1.070     23.360    -83.304    -39.827   -217.904   -103.063   -181.169
      1.080     21.176    -84.317    -41.629   -218.864    -99.449   -179.384
      1.090     18.983    -85.294    -43.414   -219.706    -95.894   -177.574
      1.100     16.782    -86.235    -45.181   -220.434    -92.402   -175.744
      1.110     14.575    -87.142    -46.929   -221.054    -88.974   -173.898
      1.120     12.362    -88.015    -48.659   -221.571    -85.614   -172.039
      1.130     10.144    -88.855    -50.370   -221.989    -82.322   -170.172
      1.140      7.922    -89.662    -52.062   -222.316    -79.099   -168.300
      1.150      5.698    -90.437    -53.736   -222.554    -75.947   -166.427
      1.160      3.472    -91.181    -55.391   -222.710    -72.865   -164.554
      1.170      1.244    -91.895    -57.027   -222.787    -69.855   -162.685
      1.180     -0.984    -92.578    -58.644   -222.791    -66.914   -160.822
      1.190     -3.211    -93.233    -60.243   -222.726    -64.044   -158.967
      1.200     -5.438    -93.860    -61.824   -222.597    -61.244   -157.122
      1.210     -7.663    -94.458    -63.386   -222.407    -58.513   -155.289
      1.220     -9.886    -95.030    -64.930   -222.160    -55.850   -153.469
      1.230    -12.106    -95.576    -66.455   -221.861    -53.254   -151.664
      1.240    -14.323    -96.096    -67.963   -221.512    -50.724   -149.874
      1.250    -16.536    -96.591    -69.453   -221.117    -48.259   -148.101
      1.260    -18.745    -97.061    -70.925   -220.680    -45.857   -146.346
